Бобров, Сергей Павлович	[' (1889—1971), поэт, художник, литературовед — ']	['II']	['85']
Богомолов, Леонид Иванович	[', врач — ']	['IV']	['162,413']
Бодлер, Шарль	[' (1821—1867), французский поэт — ']	['I', 'II', 'III']	['191,214', '265,289,560', '235']
Бозио, Анджолина	[' (1830—1859), итальянская певица — ']	['II', 'III']	['467,490,579', '175']
Боккаччо, Джованни	[' (1313—1375), итальянский писатель — ']	['III']	['225']
Бокль, Генри Томас	[' (1821—1862), английский историк — ']	['I', 'II']	['230', '358']
Болотников, Иван Исаевич	[' (ум. 1608), предводитель крестьянского восстания — ']	['II']	['328']
Бонапарт	[]	['']	[]
Бондарь	[' — ']	['III']	['430']
Бонч-Бруевич, Владимир Дмитриевич	[' (1873—1955), сов. госуд. и парт. деятель, литератор — ']	['IV']	['156,410']
Боратынский	[]	['']	[]
Борис Годунов	[' (ок.1551—1605), русский царь 1598—1605 — ']	['I', 'II']	['166—168,200', '444']
Бородин, Сергей Петрович	[' (псевдоним: Амир Саргиджан; 1902—1974), писатель — ']	['IV']	['147,406,407']
Бравич (Баранович), Казимир Викентьевич	[' (1861—1912), актер — ']	['II']	['385']
Брамс, Иоганнес	[' (1833—1897), немецкий композитор — ']	['III']	['87,246']
Брентано, Клеменс	[' (1778—1842), немецкий поэт — ']	['II']	['340']
Брет-Га	[]	['']	[]
Брехничев	[]	['']	[]
Брион, Фридерика Элизабета	[' (1752—1813), возлюбленная Гете — ']	['III']	['295,420']
Брихничев, Иона Пантелеймонович	[' (1879—1968), священник, поэт, публицист, издатель — ']	['II']	['608']
Бройдо, Григорий Исаакович	[' (1885—1956), издательский деятель — ']	['IV']	['55,381']
Брочья, Пьетро де ла 	['(Брос, Пьер де ла), придворный французского короля Филиппа III Смелого — ']	['III']	['259']
Бруни, Николай Александрович	[' (1891—1938?), поэт, священник — ']	['II']	['473—475,565,566']
Бруно, Джордано	[' (1548—1600), итальянский философ — ']	['III']	['251']
Бруссон, Жан-Жак,	[' секретарь А. Франса, автор книги «Анатоль Франс в туфлях и халате» — ']	['I']	['158']
Брюсов, Валерий Яковлевич	[' (1873—1924), поэт — ']	['I', 'II', 'IV']	['207,230', '237,255,290,291,293,388,445,518', '12']
Б. С.	[]	['']	[]
Буало (Буало-Депрео), Никола	[' (1636—1711), французский поэт, критик — ']	['II']	['278']
Бубнов, Андрей Сергеевич	[' (1883—1938), сов. госуд. и парт. деятель — ']	['III']	['146']
Бугаев Б. Н.	[]	['']	[]
Бугаевский	[', переводчик — ']	['III']	['261']
Буденный, Семен Михайлович	[' (1883—1973), герой гражданской войны, маршал — ']	['II', 'III']	['562', '436']
Бунин, Иван Алексеевич	[' (1870—1953), русский писатель — ']	['II']	['529']
Бурже, Поль Шарль Жозеф	[' (1852—1935), французский писатель — ']	['II']	['489']
Буров	[', литератор — ']	['II']	['604']
Бутман, Дина	[', актриса — ']	['IV']	['135,402']
